Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
aliquam-consequat-mattis,aliquam consequat mattis,"<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.</p>
[short_description]
<p>There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable.</p>
[/short_description] [product_description]
<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur?</p>
<p>To take a trivial example, which of us ever undertakes laborious physical exercise, except to obtain some advantage from it? But who has any right to find fault with a man who chooses to enjoy a pleasure that has no annoying consequences, or one who avoids a pain that produces no resultant pleasure?</p>
[/product_description]",otobi,assorted,"gray, magenta, orange, pink, purple, violet",true,Size,xl,Color,gray,Material,partex,"",0,shopify,9,deny,manual,150.00,,true,true,"",https://cdn.shopify.com/s/files/1/0037/2680/3011/products/3_27fb7bc8-f509-49b9-b571-965fcf57e01c.png?v=1536038080,1,,false,,,,,,,,,,,,,,,,,kg,
aliquam-consequat-mattis,,,,,,,,xl,,gray,,wood,"",0,shopify,9,deny,manual,150.00,,true,true,"",https://cdn.shopify.com/s/files/1/0037/2680/3011/products/4_6d126974-7768-49b0-bf41-d5ae8bc0ee44.png?v=1536038081,2,,,,,,,,,,,,,,,,,,,kg,
aliquam-consequat-mattis,,,,,,,,xl,,gray,,glass,"",0,shopify,9,deny,manual,150.00,,true,true,"",https://cdn.shopify.com/s/files/1/0037/2680/3011/products/5_1a9aa76e-5f36-43cf-a652-3f51dcb59107.png?v=1536038082,3,,,,,,,,,,,,,,,,,,,kg,
aliquam-consequat-mattis,,,,,,,,xl,,magenta,,partex,"",0,shopify,9,deny,manual,150.00,,true,true,"",https://cdn.shopify.com/s/files/1/0037/2680/3011/products/6_664ffde8-4666-42d5-9f51-e999a5c15131.png?v=1536038084,4,,,,,,,,,,,,,,,,,,,kg,
aliquam-consequat-mattis,,,,,,,,xl,,magenta,,wood,"",0,shopify,9,deny,manual,150.00,,true,true,"",https://cdn.shopify.com/s/files/1/0037/2680/3011/products/7.png?v=1536038085,5,,,,,,,,,,,,,,,,,,,kg,
aliquam-consequat-mattis,,,,,,,,xl,,magenta,,glass,"",0,shopify,9,deny,manual,150.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
aliquam-consequat-mattis,,,,,,,,xl,,orange,,partex,"",0,shopify,9,deny,manual,150.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
aliquam-consequat-mattis,,,,,,,,xl,,orange,,wood,"",0,shopify,9,deny,manual,150.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
aliquam-consequat-mattis,,,,,,,,xl,,orange,,glass,"",0,shopify,9,deny,manual,150.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
aliquam-consequat-mattis,,,,,,,,xl,,purple,,partex,"",0,shopify,9,deny,manual,150.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
